Seed,Chances,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th
1,114,0.114,0.11,0.107,0.102,0.097,0.47,,,,,,,,,,
2,113,0.113,0.11,0.106,0.102,0.097,0.274,0.199,,,,,,,,,
3,112,0.112,0.109,0.105,0.101,0.097,0.148,0.254,0.074,,,,,,,,
4,111,0.111,0.108,0.104,0.101,0.096,0.071,0.229,0.156,0.023,,,,,,,
5,99,0.099,0.098,0.097,0.095,0.092,0.03,0.179,0.226,0.079,0.007,,,,,,
6,89,0.089,0.089,0.089,0.089,0.088,0.007,0.103,0.248,0.164,0.033,0.002,,,,,
7,79,0.079,0.08,0.081,0.082,0.083,,0.035,0.201,0.252,0.096,0.011,<0.001,,,,
8,69,0.069,0.071,0.072,0.074,0.076,,,0.096,0.287,0.206,0.046,0.003,<0.001,,,
9,59,0.059,0.061,0.063,0.066,0.069,,,,0.195,0.33,0.138,0.018,0.001,<0.001,,
10,49,0.049,0.051,0.054,0.057,0.06,,,,,0.329,0.319,0.076,0.005,<0.001,<0.001,
11,39,0.039,0.041,0.044,0.047,0.05,,,,,,0.484,0.26,0.033,0.001,<0.001,<0.001
12,29,0.029,0.031,0.033,0.036,0.039,,,,,,,0.643,0.178,0.011,<0.001,<0.001
13,19,0.019,0.021,0.022,0.024,0.027,,,,,,,,0.783,0.101,0.003,<0.001
14,9,0.009,0.01,0.011,0.012,0.013,,,,,,,,,0.887,0.058,0.001
15,6,0.006,0.007,0.007,0.008,0.009,,,,,,,,,,0.939,0.024
16,4,0.004,0.004,0.005,0.005,0.006,,,,,,,,,,,0.975
